home,score,away,date,location,home_gols,away_gols
Chile ,2–0, Italy,2 June 1962,"Estadio Nacional, Santiago","[""Ramírez  73'Toro  87'""]",[]
West Germany ,2–1, Switzerland,3 June 1962,"Estadio Nacional, Santiago","[""Brülls  45'Seeler  59'""]","[""Schneiter  73'""]"
West Germany ,2–0, Chile,6 June 1962,"Estadio Nacional, Santiago","[""Szymaniak  21'(pen.)Seeler  82'""]",[]
Italy ,3–0, Switzerland,7 June 1962,"Estadio Nacional, Santiago","[""Mora  2'Bulgarelli  65', 67'""]",[]
Brazil ,2–0, Mexico,30 May 1962,"Estadio Sausalito, Viña del Mar","[""Zagallo  56'Pelé  73'""]",[]
Czechoslovakia ,1–0, Spain,31 May 1962,"Estadio Sausalito, Viña del Mar","[""Štibrányi  80'""]",[]
Brazil ,0–0, Czechoslovakia,2 June 1962,"Estadio Sausalito, Viña del Mar",[],[]
Spain ,1–0, Mexico,3 June 1962,"Estadio Sausalito, Viña del Mar","[""Peiró  90'""]",[]
Brazil ,2–1, Spain,6 June 1962,"Estadio Sausalito, Viña del Mar","[""Amarildo  72', 86'""]","[""Adelardo  35'""]"
Mexico ,3–1, Czechoslovakia,7 June 1962,"Estadio Sausalito, Viña del Mar","[""Díaz  12'Del Águila  29'Hernández  90'(pen.)""]","[""Mašek  1'""]"
Argentina ,1–0, Bulgaria,30 May 1962,"Estadio El Teniente, Rancagua","[""Facundo  4'""]",[]
Hungary ,2–1, England,31 May 1962,"Estadio El Teniente, Rancagua","[""Tichy  17'Albert  71'""]","[""Flowers  60'(pen.)""]"
England ,3–1, Argentina,2 June 1962,"Estadio El Teniente, Rancagua","[""Flowers  17'(pen.)Charlton  42'Greaves  67'""]","[""Sanfilippo  81'""]"
Hungary ,6–1, Bulgaria,3 June 1962,"Estadio El Teniente, Rancagua","[""Albert  1', 6', 53'Tichy  8', 70'Solymosi  12'""]","[""Sokolov  64'[14]""]"
Hungary ,0–0, Argentina,6 June 1962,"Estadio El Teniente, Rancagua",[],[]
England ,0–0, Bulgaria,7 June 1962,"Estadio El Teniente, Rancagua",[],[]
Chile ,2–1, Soviet Union,10 June 1962,"Estadio Carlos Dittborn, Arica","[""L. Sánchez  11'Rojas  29'""]","[""Chislenko  26'""]"
Czechoslovakia ,1–0, Hungary,10 June 1962,"Estadio El Teniente, Rancagua","[""Scherer  13'""]",[]
Brazil ,3–1, England,10 June 1962,"Estadio Sausalito, Viña del Mar","[""Garrincha  31', 59'Vavá  53'""]","[""Hitchens  38'""]"
Yugoslavia ,1–0, West Germany,10 June 1962,"Estadio Nacional, Santiago","[""Radaković  85'""]",[]
